name
Tresane Healer
Brisp Tank
Skifree mDPS
Throbyn rDPS
Mishakal  Healer
Kor rDPS
Keietus rDPS
Bowles  mDPS
Vertueux  mDPS
Mistytide Healer
Dam Tank
Jules rDPS
Zomgqq  mDPS
Naeblis Healer
Saleighn  rDPS
Crians  rDPS
Sapph Healer
Haraya  mDPS
Trampstamp  mDPS
Alkrym  mDPS
Evgenimalkin  mDPS
Dragonheart TBD
Keeny rDPS
Vaelin  mDPS
Varos mDPS
Arthax  mDPS
Hanzaki mDPS
Alastar mDPS
Solarmage rDPS
CptKrunk  rDPS
Dizzy rDPS
Felene  rDPS
Hazmatter mDPS
